,0
W/L,1.778
Robinson Chirinos,G: 7 - 0.400/ 0.478/ 0.550/ 1.028
Yusniel Diaz,G: 1 - 0.000/ 0.000/ 0.000/ 0.000
Austin Hays,G: 20 - 0.233/ 0.273/ 0.425/ 0.697
Jorge Mateo,G: 25 - 0.296/ 0.340/ 0.523/ 0.863
Ryan McKenna,G: 16 - 0.265/ 0.324/ 0.441/ 0.766
Ryan Mountcastle,G: 24 - 0.202/ 0.276/ 0.362/ 0.638
Cedric Mullins,G: 23 - 0.315/ 0.380/ 0.506/ 0.886
Tyler Nevin,G: 6 - 0.091/ 0.091/ 0.182/ 0.273
Rougned Odor,G: 24 - 0.192/ 0.286/ 0.260/ 0.546
Brett Phillips,G: 8 - 0.118/ 0.118/ 0.235/ 0.353
Adley Rutschman,G: 24 - 0.282/ 0.417/ 0.482/ 0.899
Anthony Santander,G: 25 - 0.263/ 0.321/ 0.465/ 0.786
Kyle Stowers,G: 7 - 0.286/ 0.318/ 0.429/ 0.747
Ramon Urias,G: 25 - 0.216/ 0.253/ 0.341/ 0.594
Terrin Vavra,G: 17 - 0.262/ 0.340/ 0.333/ 0.673
Keegan Akin,9.2 IP/ 5.590 ERA/ 1.552 WHIP/ 11:2 SO:BB
Bryan Baker,10.0 IP/ 4.500 ERA/ 1.400 WHIP/ 13:4 SO:BB
FĂ©lix Bautista,13.2 IP/ 1.320 ERA/ 0.659 WHIP/ 20:2 SO:BB
Kyle Bradish,28.2 IP/ 3.140 ERA/ 1.256 WHIP/ 26:11 SO:BB
Logan Gillaspie,1.2 IP/ 0.000 ERA/ 1.200 WHIP/ 1:0 SO:BB
DL Hall,3.2 IP/ 12.270 ERA/ 2.182 WHIP/ 6:3 SO:BB
Louis Head,5.0 IP/ 1.800 ERA/ 2.000 WHIP/ 3:4 SO:BB
Joey Krehbiel,9.1 IP/ 5.790 ERA/ 1.500 WHIP/ 3:1 SO:BB
Dean Kremer,32.0 IP/ 2.250 ERA/ 0.938 WHIP/ 21:4 SO:BB
Jordan Lyles,27.1 IP/ 3.950 ERA/ 1.573 WHIP/ 24:5 SO:BB
Cionel PĂ©rez,8.0 IP/ 3.380 ERA/ 1.250 WHIP/ 8:3 SO:BB
Beau Sulser,2.1 IP/ 3.860 ERA/ 1.286 WHIP/ 3:1 SO:BB
Dillon Tate,11.1 IP/ 4.760 ERA/ 0.794 WHIP/ 8:0 SO:BB
Nick Vespi,5.1 IP/ 3.380 ERA/ 1.688 WHIP/ 5:2 SO:BB
Austin Voth,28.0 IP/ 2.570 ERA/ 1.000 WHIP/ 20:9 SO:BB
Spenser Watkins,26.0 IP/ 3.810 ERA/ 1.115 WHIP/ 18:4 SO:BB
